Crop,Temperature,Rainfall,Humidity,Soil Moisture,pH Level,Sunlight,Wind Speed,Cultivation Feasible
Cotton,33.686728234431115,1039.7634495878165,51.1740184074905,37.758340063612906,5.642273470604388,10.645706033701849,-3.6657829583688937,0
Sugarcane,22.297864193768888,952.8776214064984,57.26345244542291,79.07209233620424,5.5147055227154596,7.077442641673587,21.507263515177208,0
Maize,20.554969688982077,894.2045601250959,54.79379323967336,57.04644979199498,5.3003318917745,9.986804732639673,9.78468755644681,0
Maize,27.137977796509425,1023.2979074200716,50.96217842914302,27.840162578927146,7.641635555929112,7.369157098782897,20.264744232586583,0
Maize,20.766743097033583,656.6736219221324,49.70663017539032,42.706731238263124,5.760973837510328,8.474459420797723,15.84387320326125,0
Cotton,34.72918669742195,736.1819968687648,55.666375645686585,44.93992227624832,6.2577274312214435,9.745746079519957,1.8624285481618585,1
Cotton,16.91814840486729,1091.7619797732427,61.492007889492754,55.88974498630422,5.851863906014488,9.956953185710432,0.10942227748003219,0
Maize,24.943564068003518,1073.9548308676485,45.977577882429415,50.53190229348302,6.516423004729042,9.401282812892191,-2.4211006377329882,0
Sugarcane,27.86926694267971,660.9972795935154,58.636603781984135,68.94120885031579,6.602944090574907,7.02240424554699,3.6921233418858304,0
Maize,22.63124932714897,810.7378259224611,68.5550331906258,54.69768148622472,5.985927068994821,6.122247026265122,16.537777555859382,0
Rice,16.771944422237212,1269.9667504258928,67.04177236572718,68.76463916455387,5.598436168466386,5.742113519326378,9.352121938367269,0
Maize,21.551619686114368,780.1223542420244,32.449593961170535,43.31099999841316,6.682536738777116,8.608093069709081,-2.757835200066376,0
Rice,23.728129958745736,1017.4686873113732,51.37205512255552,55.19064838774227,6.932936608545401,5.020057840106363,19.602662593449775,0
Sugarcane,29.962524473621393,693.8327193044056,75.22300723978351,79.59516256928005,8.140190284606282,8.822301862339147,2.38574728025287,0
Wheat,5.98272187987343,814.3461570410365,42.17516539105988,35.38877130413131,5.97064002264329,6.363134184468673,21.45208760178722,0
Cotton,30.573295154131525,758.8184835012789,74.96269320114578,35.545951712727486,7.025671844646678,7.916140294478023,5.934174114930059,0
Rice,29.105290796024505,1232.8091740105579,53.57795261233045,38.165913399198026,5.670274565186229,5.57558423630576,-3.748664402281103,0
Cotton,28.12888078104104,1106.6405745303473,51.489470818769774,59.14051111974135,5.78597915107252,10.339425284159095,-0.07607429176149338,0
Rice,29.889691111910935,1393.5225043881642,70.53588630140472,61.82352046104986,5.55728790282359,5.727940176127438,13.453060660555597,0
Maize,23.31830105895098,980.7038613807545,68.51024635302213,36.205638987255035,7.528881564160774,8.836524968544346,20.581279451252534,0
Cotton,20.990847481572786,834.2169370336069,40.18482507234458,51.759727935717,7.288804923516694,10.440036897090739,-1.568528607962154,0
Wheat,17.569892297671018,410.6812061210899,72.8423243848269,43.61555891306842,5.866823367767165,7.733206376007989,-4.3270274014520185,0
Sugarcane,39.2276209838587,1028.522349356708,83.36937693495275,58.76335885362246,6.471106285720337,7.09791685139969,-0.8081215495196528,0
Maize,31.78765365371465,1242.8836659020199,52.861855874224055,26.8232166638716,6.528262988408759,5.65520030452414,21.978229430378033,0
Rice,28.623994558348137,1784.202677601163,54.46477021946936,32.64673385835422,6.604501713075288,6.2038304856239535,11.9073188779656,0
Wheat,15.040933582441818,766.0735717557095,41.10341378879104,35.92699817036775,7.785777421055745,5.701493883355861,3.8830893543255662,0
Wheat,12.782409676112481,432.0391827186596,66.32938158014873,26.178113006320636,5.827908337561822,5.728233112087036,7.427986134023797,0
Maize,21.79060670777463,781.8948306719642,44.41097549809655,30.746086933763937,5.996924984366873,8.874915824486873,-2.331533549607605,0
